date,Bx,By,Bz,Mx,My,Mz,dst
19970411 05:30,-19.31,46.96,19.22,-14.99,33.04,12.90,-70.50
19970411 06:30,-44.41,36.24,17.39,-43.15,32.28,12.77,-69.00
19970411 07:30,-46.06,24.23,18.30,-39.89,23.50,12.22,-61.50
19970411 08:30,-37.14,27.00,20.90,-30.01,25.06,9.74,-51.50
19970417 03:30,-30.06,32.89,21.03,-24.43,28.92,11.11,-58.00
19970417 04:30,-30.48,31.42,20.34,-31.48,24.82,12.99,-71.50
19970417 05:30,-24.81,27.15,16.80,-28.51,15.78,13.48,-70.50
19970417 06:30,-41.63,18.05,15.03,-37.73,17.48,12.22,-59.50
19970417 07:30,-40.55,16.54,17.25,-37.82,16.05,11.35,-55.00
19970417 08:30,-34.84,16.15,22.93,-37.20,15.18,11.43,-52.00
19970421 18:30,-72.59,-1.21,36.17,-57.44,5.31,20.37,-67.50
19970421 19:30,-80.80,14.36,43.34,-68.19,18.74,26.26,-81.00
19970421 20:30,-84.27,23.95,45.24,-72.05,34.57,29.53,-88.00
19970421 21:30,-71.18,43.48,47.19,-60.18,46.59,32.48,-97.00
19970421 23:30,-69.85,69.28,46.24,-59.32,71.94,34.19,-100.00
19970422 00:30,-69.18,32.77,38.20,-61.87,37.04,30.48,-84.50
19970422 01:30,-48.78,25.89,34.05,-44.22,20.71,27.09,-75.00
19970422 02:30,-27.27,34.83,32.07,-27.64,32.89,25.83,-77.00
19970422 03:30,-16.35,50.08,30.83,-14.07,40.40,23.96,-79.50
19970422 04:30,-33.87,47.96,26.04,-27.33,35.09,21.82,-76.00
19970422 05:30,-36.27,40.81,23.41,-29.24,26.76,19.99,-70.50
19970422 06:30,-40.88,33.67,20.65,-35.65,26.77,18.62,-65.50
19970422 07:30,-39.09,25.43,22.05,-36.26,20.83,17.71,-59.00
19970422 08:30,-33.76,18.76,25.92,-30.26,16.65,16.30,-50.50
19970501 20:30,-40.45,12.92,34.91,-32.32,16.44,17.20,-52.00
19970501 21:30,-29.39,15.19,37.06,-34.36,16.46,19.17,-56.00
19970501 22:30,-21.37,24.79,28.72,-21.05,21.92,17.90,-59.50
19970501 23:30,-23.25,37.01,28.92,-25.57,37.90,17.86,-63.50
19970502 00:30,-33.41,34.02,27.94,-28.79,33.33,17.46,-59.50
19970502 01:30,-36.51,19.09,21.98,-33.37,15.01,15.65,-54.00
19970502 02:30,-38.24,24.54,23.99,-31.17,25.12,15.83,-52.00
19970515 07:30,-36.32,-10.32,-2.01,-53.01,-3.22,2.60,-85.00
19970515 08:30,-15.46,2.42,7.89,-36.37,-6.54,3.70,-95.00
19970515 09:30,-46.42,6.81,11.04,-54.36,3.08,3.16,-96.00
19970515 16:30,-112.02,4.21,38.70,-101.25,7.36,30.58,-91.50
19970515 17:30,-98.26,3.80,35.64,-86.40,8.61,28.79,-86.00
19970515 18:30,-79.56,1.54,32.99,-73.61,3.16,26.85,-81.00
19970515 19:30,-56.27,1.95,30.63,-56.22,-0.52,24.53,-76.00
19970515 20:30,-49.03,0.71,29.23,-51.62,-2.48,22.67,-69.00
19970515 21:30,-39.84,3.58,28.71,-40.92,-1.51,21.08,-57.50
19970515 22:30,-27.72,15.20,29.33,-29.14,6.37,19.15,-50.50
19970517 02:30,-21.40,31.47,22.64,-19.94,24.94,12.99,-50.50
19970527 01:30,-19.96,37.55,24.45,-17.22,35.92,10.58,-54.50
19970527 02:30,-10.49,34.81,22.48,-13.81,23.70,10.86,-63.00
19970527 03:30,-19.07,37.52,21.36,-26.90,25.24,11.19,-70.50
19970527 04:30,-17.50,13.36,15.18,-29.87,9.05,11.44,-72.00
